_id,SYS_ID,APPLICATION_TYPE,IN_DATE,PLANNING_DISTRICT,WARD,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,REFERENCE_FILE,SUB_TYPE,WORK_TYPE,ZONING_REVIEW,ZONING_DESIGNATION,COMMUNITY,EMPLOYMENT_DISTRICT,DESCRIPTION,HEARING_DATE,TIME_OF_MEETING,MEETING_LOCATION,C_OF_A_DESCISION,ANYONE_OBJECT_AT_MEETING,APPEAL_EXPIRY_DATE,OMB_ORDER_DATE,OMB_DESCISION,NUMBER_OF_LOTS_CREATED,CONDITION_EXPIRY_DATE,STATUSDESC
1866109,4406290,MV,2018-07-04,North York,18,52,SHEPPARD,AVE,W,M2N,A0496/18NY,All Other,Other,Zoning Review,C6 (BLD),North York,NA,To facilitate the conversion of the existing office space to medical office space.,"Aug 30, 2018",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,NA,"Sep 19, 2018",NA,NA,NA,NA,Refused
1866110,4406314,MV,2018-07-04,Etobicoke York,03,62,CAVELL,AVE, ,M8V,A0545/18EYK,New Res dwellings <= 3 units,New R Building,Zoning Review,RM & R2 (ZR),NA,NA,To construct a new detached dwelling with an attached garage.,"Mar 28, 2019",1:00 p.m.,"Council Chamber, Etobicoke Civic Centre, 399 The West Mall, M9C 2Y2",Refused,NA,"Apr 17, 2019",NA,NA,NA,NA,TLAB Appeal
1866111,4407098,MV,2018-07-05,North York,15,1,ROCHESTER,AVE, ,M4N,A0505/18NY,Add/Alt to Existing Res <= 3 units,R Addition,Zoning Review,RD [ZZC],Toronto,NA,To construct a one-storey addition to the rear of the existing dwelling.,"Aug 30, 2018",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Sep 19, 2018",NA,NA,NA,NA,Approved with Conditions
1866112,4407275,MV,2018-07-06,Toronto East York,12,11,ELEANOR,AVE, ,M6E,A0502/18NY,Add/Alt to Existing Res <= 3 units,R Addition,Zoning Review,RM / R2 (BLD),York,NA,To construct a new detached garage in the rear of the property.,"Aug 30, 2018",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Sep 19, 2018",NA,NA,NA,NA,Approved
1866113,4407352,MV,2018-07-06,North York,18,165,OLIVE,AVE, ,M2N,A0503/18NY,Add/Alt to Existing Res <= 3 units,R Addition,Zoning Review,RD / R6 (ZZC),North York,NA,To extend the width of the driveway.,"Aug 30, 2018",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Sep 19, 2018",NA,NA,NA,NA,Approved
1866114,4407612,MV,2018-07-06,North York,15,6,STUBBS,DR, ,M2L,A0515/18NY,New Res dwellings <= 3 units,New R Building,Zoning Review,RD / R4 (ZZC),North York,NA,To construct a new dwelling. ,"Aug 9, 2018",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Aug 29, 2018",NA,NA,NA,NA,Approved
1866115,4407691,MV,2018-07-06,North York,15,50,TEDDINGTON PARK,AVE, ,M4N,A0513/18NY,New Res dwellings <= 3 units,New R Building,Zoning Review,RD (f15.0; d0.35) (x1427)/R1 Z0.35[ZZC],Toronto,NA,"To construct a new residential dwelling with a detached garage. Please note that previous File No. A0834/17NY was before the Committee of Adjustment on November 9, 2017 where it was approved.","Aug 30, 2018",2:00 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Sep 19, 2018",NA,NA,NA,NA,Approved
1866116,4408343,MV,2018-07-09,North York,08,97,HIGHLAND HILL, , ,M6A,A0508/18NY,New Res dwellings <= 3 units,New R Building,Zoning Review,RD / R4 (ZZC),North York,NA,To construct a new dwelling with an integral garage.,"Oct 25, 2018",2:00 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Nov 14, 2018",NA,NA,NA,NA,Approved with Conditions
1866117,4410504,MV,2018-07-11,Toronto East York,11,767,EUCLID,AVE, ,M6G,A0688/18TEY,New Res dwellings <= 3 units,New R Building,Zoning Review,R(d0.06) (ZZC),Toronto,NA,"To construct a new three-storey single family detached dwelling on the conveyed lot fronting onto Palmerston Square as described in Committee of Adjustment application B0069/18.  The new dwelling will consist of a driveway and integral carport, rear ground floor deck, and front and rear third storey balconies. ","Nov 21, 2018",4:30 p.m.,"Committee Room 2, Second Floor, Toronto City Hall, 100 Queen St W, M5H 2N2",Refused,Yes,"Dec 11, 2018","Oct 31, 2019",Variance Aproved on condition,NA,NA,TLAB Appeal
1866118,4410505,MV,2018-07-11,Toronto East York,11,767,EUCLID,AVE, ,M6G,A0689/18TEY,Add/Alt to Existing Res <= 3 units,R Addition,Zoning Review,R(d0.06) (ZZC),Toronto,NA,Proposal to maintain the existing three-storey four-unit dwelling on the retained lot as described in Committee of Adjustment application B0069/18TEY.  Easements will be maintained.  ,"Nov 21, 2018",4:30 p.m.,"Committee Room 2, Second Floor, Toronto City Hall, 100 Queen St W, M5H 2N2",Refused,Yes,"Dec 11, 2018","Oct 31, 2019",Variances approved on condition,NA,NA,TLAB Appeal
1866119,4411907,MV,2018-07-13,North York,18,5,CHARLEMAGNE,DR, ,M2N,A0527/18NY,New Res dwellings <= 3 units,New R Building,Zoning Review,RD(f15.0; a550)(x5)/R4 [ZZC],North York,NA,To construct a new dwelling.,"Aug 30, 2018",2:00 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Sep 19, 2018",NA,NA,NA,NA,Approved with Conditions
1866120,4413744,MV,2018-07-17,North York,06,20,DE BOERS,DR, ,   ,A0545/18NY,All Other,Other,Zoning Waiver,C4 (WAV),North York,NA,To construct a new 14 storey apartment building with three levels of below grade parking. ,"Sep 13, 2018",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Oct 3, 2018",NA,NA,NA,NA,Approved with Conditions
1866121,4414678,MV,2018-07-18,North York,08,81,ST GERMAIN,AVE, ,M5M,A0542/18NY,New Res dwellings <= 3 units,New R Building,Zoning Waiver,R(f7.5;d0.6)(x604) [WAV],Toronto,NA,To construct a new dwelling.,"Sep 13, 2018",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Oct 3, 2018",NA,NA,NA,NA,Approved
1866122,4415195,MV,2018-07-19,North York,17,127,CLIFFWOOD,RD, ,M2H,A0549/18NY,Add/Alt to Existing Res <= 3 units,R Addition,Zoning Review,RD / R4 [BLD],North York,NA,To construct a second storey addition over the existing dwelling in conjunction with a two-storey addition to the rear of the dwelling. The applicant is also proposing other interior and exterior alterations.,NA,NA,NA,Deferred,NA,"Sep 18, 2019",NA,NA,NA,NA,Deferred
1866123,4419801,MV,2018-07-26,Etobicoke York,03,11,FOURTEENTH,ST, ,M8V,A0588/18EYK,Add/Alt to Existing Res <= 3 units,Other,Zoning Review,RM & R2 (ZR),NA,NA,"To construct two secondary suites within the existing dwelling, there will be a total of 3 residential units.",NA,NA,NA,Deferred,NA,"Sep 19, 2018",NA,NA,NA,NA,Deferred
1866124,4424346,MV,2018-08-03,Toronto East York,09,39,LAUDER,AVE, ,M6H,A0613/18EYK,Add/Alt to Existing Res <= 3 units,R Addition,Preliminary Project Review,R & R2 Z0.6 (ZR),NA,NA,To construct a third storey rear addition.,"Oct 11, 2018",10:00 a.m.,"Council Chamber, York Civic Centre, 2700 Eglinton Av W, M6M 1V1",NA,NA,"Oct 31, 2018",NA,NA,NA,NA,Hearing Scheduled
1866125,4426464,CO,2018-08-08,Etobicoke York,03,32,ALGOMA,ST, ,M8Y,B0065/18EYK,NA,Sever Lot,Zoning Review,RM & R3 (ZR),NA,NA,To obtain consent to sever the property into two undersized lots.,"Dec 13, 2018",3:00 p.m.,"Council Chamber, Etobicoke Civic Centre, 399 The West Mall, M9C 2Y2",Approved,NA,"Jan 9, 2019",NA,NA,NA,"Dec 20, 2019",Conditional Consent
1866126,4429353,CO,2018-08-13,North York,18,5868-5870,YONGE,ST, ,M2M,B0041/18NY,NA,Lot Addition,Zoning Waiver,C1(5),North York,NA,"To obtain consent to sever a portion of land for the purpose of a lot addition and the creation of easements and rights-of-ways.  This application is related to consent application B0040/18NY.  Other related City Planning file includes 16 109561 NNY 23 OZ, and an approval by the Local Planning Appeal Tribunal (case no. PL160863) to redevelop the larger site into a high-rise residential tower on the west and southwest portions,  and an auto dealership on the northeast part of the overall site.","Nov 8, 2018",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Dec 6, 2018",NA,NA,2,NA,Approved with Conditions
1866127,4431312,CO,2018-08-16,North York,18,5868-5870,YONGE,ST, ,M2M,B0040/18NY,NA,Lot Addition,Zoning Waiver,C1(5),North York,NA,"To obtain consent to sever a portion of land for the purpose of a lot addition and the creation of easements and rights-of-ways.  This application is related to consent application B0041/18NY.  Other related City Planning file includes 16 109561 NNY 23 OZ, and an approval by the Local Planning Appeal Tribunal (case no. PL160863) to redevelop the larger site into a high-rise residential tower on the west and southwest portions, and an auto dealership on the northeast part of the overall site.","Nov 8, 2018",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Dec 6, 2018",NA,NA,2,NA,Approved with Conditions
1866128,4435079,CO,2018-08-22,Toronto East York,09,72,HOLMESDALE,RD, ,M6E,B0074/18EYK,NA,Sever Lot,Zoning Review,RM (ZR),NA,NA,To obtain consent to sever the property into two residential lots. ,"Nov 8, 2018",1:00 p.m.,"Council Chamber, York Civic Centre, 2700 Eglinton Av W, M6M 1V1",Approved,NA,"Dec 7, 2018",NA,NA,NA,"Nov 16, 2019",Conditional Consent
1866129,4443854,MV,2018-09-06,North York,15,16,CROFTON,RD, ,M4G,A0641/18NY,Add/Alt to Existing Res <= 3 units,R Addition,Zoning Waiver,R2A/RM(x263),East York,NA,To alter the existing dwelling by constructing a two storey rear addition and a rear deck.,"Oct 11, 2018",2:00 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Oct 31, 2018",NA,NA,NA,NA,Closed
1866130,4444800,MV,2018-09-07,North York,15,166,MCRAE,DR, ,M4G,A0643/18NY,Add/Alt to Existing Res <= 3 units,R Addition,Zoning Review,RD [BLD],Toronto,NA,To construct a rear two-storey addition.,NA,NA,NA,Deferred,NA,"Nov 14, 2018",NA,NA,NA,NA,Deferred
1866131,4445164,MV,2018-09-07,Etobicoke York,01,1745,ALBION,RD, ,M9V,A0688/18EYK,All Other,NR Addition,Zoning Review,E & IC2 (ZR),NA,NA,To construct a hotel above the existing banquet hall which is located along the southwest corner of the property.,"Oct 25, 2018",10:00 a.m.,"Council Chamber, Etobicoke Civic Centre, 399 The West Mall, M9C 2Y2",Approved,NA,"Nov 14, 2018",NA,NA,NA,NA,TLAB Appeal
1866132,4446829,MV,2018-09-11,North York,08,25,SARANAC,BLVD, ,   ,A0648/18NY,All Other,Other,Zoning Review,RD / R5 [ZZC],North York,NA,"To facilitate the expansion and renovation of the existing three-storey school building, which is to include a three-storey addition and second storey addition, in conjunction with other interior and exterior alterations. Files A0647/18NY & A0648/18NY will be heard jointly.",NA,NA,NA,Deferred,NA,"Nov 14, 2018",NA,NA,NA,NA,Deferred
1866133,4446843,MV,2018-09-11,North York,08,15,SARANAC,BLVD, ,M6A,A0647/18NY,All Other,Other,Zoning Review,RD / R5 [ZZC],North York,NA,"To facilitate the expansion and renovation of the existing three-storey school building, which is to include a three-storey addition and second storey addition, in conjunction with other interior and exterior alterations. Files A0647/18NY & A0648/18NY will be heard jointly.",NA,NA,NA,Deferred,NA,"Nov 14, 2018",NA,NA,NA,NA,Deferred
1866134,4447063,CO,2018-09-11,North York,15,80,GLEN ECHO,RD, ,M4N,B0043/18NY,NA,Validation of Title,Zoning Waiver,RD (f15.0; d0.35) (x1427),Toronto,NA,"Section 57(1) of The Planning Act allows the assignment of authority to the Secretary-Treasurer, Committee of Adjustment or his/her designate to approve a Validation of Title.","Sep 27, 2018",NA,N/A,Approved,NA,NA,NA,NA,1,NA,Accepted
1866135,4447148,MV,2018-09-11,North York,15,20,DONLEA,DR, ,M4G,A0653/18NY,New Res dwellings <= 3 units,New R Building,Zoning Review,RD / R1B (ZZC),East York,NA,To construct a new dwelling. ,"Oct 25, 2018",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Nov 14, 2018",NA,NA,NA,NA,Approved
1866136,4447536,MV,2018-09-12,North York,15,83,FOREST HEIGHTS,BLVD, ,M2L,A0654/18NY,New Res dwellings <= 3 units,New NR Building,Zoning Review,R1/RD(x72) [ZZC],North York,NA,To construct a new detached dwelling and a cabana.,"Feb 7, 2019",2:00 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Feb 27, 2019",NA,NA,NA,NA,Approved with Conditions
1866137,4450563,CO,2018-09-17,North York,18,37,STAFFORD,RD, ,M2R,B0044/18NY,NA,Sever Lot,Zoning Review,RD ,North York,NA,To obtain consent to sever the property into two residential lots.,"Dec 6, 2018",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Jan 2, 2019",NA,NA,NA,NA,Conditional Consent
1866138,4457871,MV,2018-09-27,Etobicoke York,05,33,KENORA,CRES, ,M6M,A0720/18EYK,Add/Alt to Existing Res <= 3 units,R Addition,Zoning Review,RM (ZR),NA,NA,To construct a two-storey rear addition.,NA,NA,NA,Deferred,NA,"Jan 2, 2019",NA,NA,NA,NA,Deferred
1866139,4462642,MV,2018-10-02,Scarborough,22,20,TOM WELLS,CRES, ,M1V,A0309/18SC,Add/Alt to Existing Res <= 3 units,Other,Zoning Review,Residential Detached (RD) [ZR],Steeles Community,NA,To consturct a new deck at the rear of the dwelling.,NA,9:30 a.m.,"Council Chamber, Scarborough Civic Centre, 150 Borough Dr., M1P 4N7",NA,NA,NA,NA,NA,NA,NA,Tentatively Scheduled
1866140,4466611,CO,2018-10-10,Etobicoke York,01,330,REXDALE,BLVD, ,M9W,B0080/18EYK,NA,Other,Preliminary Project Review,NA,NA,NA,Proposal for technical severance lot into 3.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Postponed
1866141,4468009,CO,2018-10-12,North York,18,284,BOGERT,AVE, ,M2N,B0049/18NY,NA,Sever Lot,Zoning Waiver,RD / R4 (WAV),North York,NA,"To obtain consent to sever the property into two undersized lots. This file was deferred on January 24th, 2019 in order to allow the applicant an opportunity to meet with City Planning and the area residents to discuss their concerns.","May 26, 2022",2:00 p.m.,Virtual Hearing,Refused,NA,"Jun 22, 2022",NA,NA,2,NA,TLAB Appeal
1866142,4468033,MV,2018-10-12,North York,18,284,BOGERT,AVE, ,M2N,A0712/18NY,New Res dwellings <= 3 units,New R Building,Zoning Waiver,RD / R4 (WAV),North York,NA,"To construct a new dwelling. This file was deferred on January 24th, 2019 in order to allow the applicant an opportunity to meet with City Planning and the area residents to discuss their concerns.","May 26, 2022",2:00 p.m.,Virtual Hearing,Refused,NA,"Jun 15, 2022",NA,NA,NA,NA,TLAB Appeal
1866143,4468043,MV,2018-10-12,North York,18,284,BOGERT,AVE, ,M2N,A0711/18NY,New Res dwellings <= 3 units,New R Building,Zoning Waiver,RD / R4 (WAV),North York,NA,"To construct a new dwelling. This file was deferred on January 24th, 2019 in order to allow the applicant an opportunity to meet with City Planning and the area residents to discuss their concerns.","May 26, 2022",2:00 p.m.,Virtual Hearing,Refused,NA,"Jun 15, 2022",NA,NA,NA,NA,TLAB Appeal
1866144,4469835,MV,2018-10-15,North York,16,4,ALVARADO,PL, ,M3A,A0718/18NY,New Res dwellings <= 3 units,New R Building,Zoning Review,R4/RD(x5)[ZZC],North York,NA,"To construct a new dwelling. Please note this application was previously deferred Thursday, November 22, 2018, in order to allow the applicant an opportunity to attend the Hearing.","Dec 6, 2018",2:00 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Dec 27, 2018",NA,NA,NA,NA,Approved with Conditions
1866145,4470586,CO,2018-10-16,North York,08,320,LAWRENCE,AVE,W,M5M,B0050/18NY,NA,Sever Lot,Zoning Review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
1866146,4470609,MV,2018-10-16,North York,08,320,LAWRENCE,AVE,W,M5M,A0724/18NY,New Res dwellings <= 3 units,New R Building,Zoning Review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
1866147,4470614,MV,2018-10-16,North York,08,320,LAWRENCE,AVE,W,M5M,A0723/18NY,New Res dwellings <= 3 units,New R Building,Zoning Review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
1866148,4473084,CO,2018-10-19,North York,18,109,KINGSDALE,AVE, ,M2N,B0051/18NY,NA,Sever Lot,Zoning Waiver,R4/RD[WAV],North York,NA,To obtain consent to sever the property into two residential lots.,"Feb 21, 2019",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Mar 20, 2019",NA,NA,2,NA,Approved with Conditions
1866149,4479912,MV,2018-11-01,North York,08,194,ROSELAWN,AVE, ,M4R,A0763/18NY,Add/Alt to Existing Res <= 3 units,NR Addition,Preliminary Project Review,R [ZZC],Toronto,NA,"To construct a two-storey and one-storey addition to the rear of the existing dwelling, in conjunction with other interior and exterior alterations. Please note this application was previously deferred Thursday, December 6, 2018, in order to revise the requested variances.","Feb 7, 2019",2:00 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Feb 27, 2019",NA,NA,NA,NA,Approved with Conditions
1866150,4481216,MV,2018-11-05,North York,15,205,BAYVIEW HEIGHTS,DR, ,M4G,A0762/18NY,New Res dwellings <= 3 units OTC,Other,Zoning Review,RD / R1B (BLD),East York,NA,To legalize and maintain the current dwelling and associated landscaping.,"Dec 6, 2018",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Dec 27, 2018",NA,NA,NA,NA,Approved with Conditions
1866151,4481687,MV,2018-11-06,North York,15,17,CHIEFTAIN,CRES, ,M2L,A0773/18NY,New Res dwellings <= 3 units,New R Building,Zoning Review,RD /R2 (ZZC),North York,NA,To construct a new dwelling.,"Jan 24, 2019",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Feb 13, 2019",NA,NA,NA,NA,Approved with Conditions
1866152,4483327,MV,2018-11-08,Etobicoke York,03,1166,ISLINGTON,AVE, ,M8Z,A0812/18EYK,New Res dwellings <= 3 units,New R Building,Waiver,NA,NA,NA,To construct a detached dwelling with an integral garage.,"Feb 21, 2019",1:00 p.m.,"Council Chamber, Etobicoke Civic Centre, 399 The West Mall, M9C 2Y2",Approved,NA,"Mar 13, 2019",NA,NA,NA,NA,TLAB Appeal
1866153,4483328,MV,2018-11-08,Etobicoke York,03,1166,ISLINGTON,AVE, ,M8Z,A0813/18EYK,New Res dwellings <= 3 units,New R Building,Waiver,NA,NA,NA,To construct a detached dwelling with an integral garage.,"Feb 21, 2019",1:00 p.m.,"Council Chamber, Etobicoke Civic Centre, 399 The West Mall, M9C 2Y2",Approved,NA,"Mar 13, 2019",NA,NA,NA,NA,TLAB Appeal
1866154,4484046,MV,2018-11-09,North York,18,120,HENDON,AVE, ,M2M,A0776/18NY,Add/Alt to Existing Res <= 3 units,R Addition,Zoning Review,RD [BLD],North York,NA,To remove the existing sloped roof from the detached garage and replace with a flat roof.,"Jan 24, 2019",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,NA,"Feb 13, 2019",NA,NA,NA,NA,TLAB Appeal
1866155,4485080,MV,2018-11-13,Etobicoke York,02,11,SOUTHWAY,RD, ,M9A,A0822/18EYK,New Res dwellings <= 3 units,New R Building,Zoning Waiver,RD (WAIVER),NA,NA,To construct a new detached dwelling with an attached garage.,NA,NA,NA,Deferred,NA,"Jan 2, 2019",NA,NA,NA,NA,Deferred
1866156,4485891,MV,2018-11-14,North York,08,583,OLD ORCHARD,GRV, ,M5M,A0787/18NY,New Res dwellings <= 3 units,New R Building,Zoning Review,RD / R4 (ZZC),North York,NA,To construct a new dwelling.,"Mar 7, 2019",2:00 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Mar 27, 2019",NA,NA,NA,NA,Approved with Conditions
1866157,4487057,MV,2018-11-16,Toronto East York,19,428,LAKE FRONT, , ,M4E,A1090/18TEY,New Res dwellings <= 3 units,New R Building,Zoning Review,RD (ZZC),Toronto,NA,"To construct a four-storey single family detached house with a below-grade, three-car garage having access via a car elevator; a swimming pool and terrace on the south side of the second floor; platforms/terraces on the south side of the fourth floor; and a basement walkout on the south side. The basement and partial fourth floor are classified as storeys in the description.","Aug 19, 2020",3:30 p.m.,Virtual Hearing ,Refused,NA,"Sep 8, 2020",NA,NA,NA,NA,TLAB Appeal
1866158,4488090,MV,2018-11-19,Etobicoke York,01,0,SPRINGWOOD,DR, ,   ,A0870/18EYK,New Res dwellings <= 3 units,New R Building,Zoning Review,RD (ZR),NA,NA,To construct a new detached dwelling with a detached garage along the north side of the dwelling.,NA,NA,NA,Deferred,NA,"Feb 13, 2019",NA,NA,NA,NA,Deferred
1866159,4489307,MV,2018-11-21,North York,15,84,WEYBOURNE,CRES, ,M4N,A0809/18NY,New Res dwellings <= 3 units,New R Building,Waiver,RD / R2 Z0.6 [WAV],Toronto,NA,"To construct a new semi-detached dwelling. File Numbers: B0056/18NY, A0803/18NY, A0804/18NY, A0805/18NY, A0806/18NY, A0807/18NY, A0808/18NY, A0809/18NY, & A0810/18NY will be considered jointly.","Mar 21, 2019",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,NA,"Apr 10, 2019",NA,NA,NA,NA,TLAB Appeal
1866160,4489374,MV,2018-11-21,North York,15,84,WEYBOURNE,CRES, ,M4N,A0810/18NY,New Res dwellings <= 3 units,New R Building,Waiver,RD / R2 Z0.6 [WAV],Toronto,NA,"To construct a new semi-detached dwelling. File Numbers: B0056/18NY, A0803/18NY, A0804/18NY, A0805/18NY, A0806/18NY, A0807/18NY, A0808/18NY, A0809/18NY, & A0810/18NY will be considered jointly.","Mar 21, 2019",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,NA,"Apr 10, 2019",NA,NA,NA,NA,TLAB Appeal
1866161,4489957,CO,2018-11-22,North York,15,49,LAWRENCE,AVE,E,M4N,B0056/18NY,NA,Sever Lot,Waiver,RD / R2 Z0.6 [WAV],Toronto,NA,"To obtain consent to sever a portion of the land for the purpose of lot additions, to create eight new lots. File Numbers: B0056/18NY, A0803/18NY, A0804/18NY, A0805/18NY, A0806/18NY, A0807/18NY, A0808/18NY, A0809/18NY, & A0810/18NY will be considered jointly.","Mar 21, 2019",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,NA,"Apr 17, 2019",NA,NA,8,NA,Conditional Consent
1866162,4492802,MV,2018-11-29,North York,17,42,RAVENSCROFT,CRCL, ,M2K,A0819/18NY,New Res dwellings <= 3 units,New R Building,Zoning Review,RD / R4 (ZZC),North York,NA,To construct a new dwelling. ,"Feb 7, 2019",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Feb 27, 2019",NA,NA,NA,NA,Approved with Conditions
1866163,4493234,CO,2018-11-29,Scarborough,20,24 A,RHYDWEN,AVE, ,M1N,B0066/18SC,NA,Sever Lot,Waiver,RD - Residential Detached/ S- Single Family Residential [WAIVER],Birchcliff Community,NA,"This application is for consent to sever the land into two lots, as shown on the attached Site Plan.  Lot to be created Part 1 and Part 2 would have a frontage of 9.3 metres and a lot area of 280 square metres. In order to facilitate the proposed development, relief from the provision of the Zoning By-law was requested, as outlined in A0365/18SC and A0366/18SC.","Jan 30, 2019",9:30 a.m.,"Council Chamber, Scarborough Civic Centre, 150 Borough Dr., M1P 4N7",Approved,NA,"Feb 25, 2019",NA,NA,2,"Feb 04, 2020",Conditional Consent
1866164,4494976,MV,2018-12-04,North York,17,40,RESTWELL,CRES, ,M2K,A0827/18NY,New Res dwellings <= 3 units,New R Building,Zoning Waiver,RD / R2 (WAIVER),North York,NA,To construct a new dwelling.,"Feb 7, 2019",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Feb 27, 2019",NA,NA,NA,NA,Approved with Conditions
1866165,4497569,CO,2018-12-10,Etobicoke York,01,15,BRYDON,DR, ,M9W,B0098/18EYK,NA,Sever Lot,Waiver,E (Waiver),NA,NA,To obtain consent to sever the property into two industrial lots and to create easement/right-of-ways.,"Apr 11, 2024",1:00 p.m.,"Virtual Hearing / Council Chamber, Etobicoke Civic Centre, 399 The West Mall, M9C 2Y2",Approved,NA,"May 9, 2024",NA,NA,NA,"Apr 19, 2025",Conditional Consent
1866166,4497928,MV,2018-12-10,North York,15,14,BROOKFIELD,RD, ,M2P,A0841/18NY,New Res dwellings <= 3 units,New R Building,Zoning Waiver,R3 (WAV),North York,NA,To construct a new dwelling.,"Feb 7, 2019",2:00 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,NA,"Feb 27, 2019",NA,NA,NA,NA,TLAB Appeal
1866167,4498611,MV,2018-12-11,North York,15,230,ERSKINE,AVE, ,M4P,A0860/18NY,Add/Alt to Existing Res <= 3 units,Other,Zoning Review,R (BLD),Toronto,NA,To construct cladding on the front wall of existing dwelling.,"Mar 21, 2019",2:00 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Apr 10, 2019",NA,NA,NA,NA,Approved
1866168,4498911,MV,2018-12-12,Etobicoke York,07,120,NORFINCH,DR, ,M3N,A0845/18NY (EYK),All Other,Other,Zoning Review,E & M2 (ZR),NA,NA,To expand the existing social club from units 23 and 27 to include unit 26. ,NA,NA,NA,Deferred,NA,"Feb 27, 2019",NA,NA,NA,NA,Deferred
1866169,4499592,CO,2018-12-13,Toronto East York,12,47,STRADER,AVE, ,M6C,B0060/18NY (TEY),NA,Sever Lot,Zoning Review,RM (f12.0; u2; d0.8) (x252) & R2 (ZZC),York,NA,To obtain consent to sever the property into two undersized residential lots.,"May 15, 2019",4:00 p.m.,"Committee Room 2, Second Floor, Toronto City Hall, 100 Queen St W, M5H 2N2",Refused,Yes,"Jun 10, 2019",NA,Approved,1,NA,Conditional Consent
1866170,4499641,CO,2018-12-13,Etobicoke York,03,120,FOURTH,ST, ,M8V,B0099/18EYK,NA,Sever Lot,Zoning Review,RD & R1 (ZR),NA,NA,To obtain consent to sever the property into two residential lots.,"Apr 11, 2019",1:00 p.m.,"Council Chamber, Etobicoke Civic Centre, 399 The West Mall, M9C 2Y2",Approved,NA,"May 8, 2019",NA,NA,NA,"Apr 17, 2020",Conditional Consent
1866171,4500433,MV,2018-12-14,Etobicoke York,03,518,PRINCE EDWARD,DR,N,M8X,A0917/18EYK,New Res dwellings <= 3 units,New R Building,Zoning Waiver,RD (ZR),NA,NA,To construct a new detached dwelling with an attached garage. ,"Mar 26, 2020",1:00 p.m.,"Council Chamber, Etobicoke Civic Centre, 399 The West Mall, M9C 2Y2",NA,NA,NA,NA,NA,NA,NA,Hearing Scheduled
